,Player,Maps,K,D,A,KD,ACS_Map,K_Map,D_Map,A_Map
0,gelo,4,82,53,gelo,gelo,gelo,gelo,gelo,gelo
1,mikee,2,37,32,mikee,mikee,mikee,mikee,mikee,mikee
2,SKIES,5,89,82,SKIES,SKIES,SKIES,SKIES,SKIES,SKIES
3,iuoym,4,67,40,iuoym,iuoym,iuoym,iuoym,iuoym,iuoym
4,Kawaii2k,4,63,41,Kawaii2k,Kawaii2k,Kawaii2k,Kawaii2k,Kawaii2k,Kawaii2k
5,cook,3,49,43,cook,cook,cook,cook,cook,cook
6,Brisk,4,60,46,Brisk,Brisk,Brisk,Brisk,Brisk,Brisk
7,DAIMYO,5,78,69,DAIMYO,DAIMYO,DAIMYO,DAIMYO,DAIMYO,DAIMYO
8,Rereiana,5,76,69,Rereiana,Rereiana,Rereiana,Rereiana,Rereiana,Rereiana
9,ayr,3,45,46,ayr,ayr,ayr,ayr,ayr,ayr
10,PotatonBacon,3,41,52,PotatonBacon,PotatonBacon,PotatonBacon,PotatonBacon,PotatonBacon,PotatonBacon
11,Jbag,5,69,75,Jbag,Jbag,Jbag,Jbag,Jbag,Jbag
12,infin8,3,40,49,infin8,infin8,infin8,infin8,infin8,infin8
13,Frog,2,23,30,Frog,Frog,Frog,Frog,Frog,Frog
14,bblaro,3,40,53,bblaro,bblaro,bblaro,bblaro,bblaro,bblaro
15,koldqt,2,20,36,koldqt,koldqt,koldqt,koldqt,koldqt,koldqt
16,Inkripto,2,21,28,Inkripto,Inkripto,Inkripto,Inkripto,Inkripto,Inkripto
17,kas,4,42,47,kas,kas,kas,kas,kas,kas
18,aldm,5,45,78,aldm,aldm,aldm,aldm,aldm,aldm
19,Ghost,2,12,30,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost
